Código_Actividad,identificacion,Código_Actividad,Hora del Dia,Etiqueta Interacción,Etiqueta Actividad,Etiqueta Actividad Resumida,Preocupación,Prisa,Irritación,Depresión,Tensión,Calma,Disfrute,Lugar de actividad,Zona_Actividad,Total en minutos de la actividad,Hora actividad redondeada,A_gusto_en_la_Interacción,Minutos*Preoc,Minutos*Prisa,Minutos*Irritación,Minutos*Depresión,Minutos*Tensión,Minutos*Calma,Minutos*Disfrute,Minutos*AgustInter
Majo4-Laura8,Majo4-Laura,Majo4-Laura8,Tarde,Con sus hijos jóvenes o nietos,Viajó en coche/colectivo/moto,"Viajó a algún lado (coche, caminando, bicicleta)",2,2,2,2,2,6,6,"Viajó a algún lado (coche, caminando, bicicleta)",4,10,13:00:00,9,20,20,20,20,20,60,60,90
Majo4-Laura9,Majo4-Laura,Majo4-Laura9,Tarde,Estaba solo,Viajó en coche/colectivo/moto,"Viajó a algún lado (coche, caminando, bicicleta)",2,2,2,2,2,7,7,"Viajó a algún lado (coche, caminando, bicicleta)",13,10,13:00:00,,20,20,20,20,20,70,70,
Majo4-Laura10,Majo4-Laura,Majo4-Laura10,Tarde,Con compañeros de trabajo / escuela / club,Trabajó,Trabajó,2,2,2,2,2,7,9,Lugar de trabajo,13,240,15:00:00,9,480,480,480,480,480,1680,2160,2160
Majo4-Laura11,Majo4-Laura,Majo4-Laura11,Tarde,Estaba solo,Viajó en coche/colectivo/moto,"Viajó a algún lado (coche, caminando, bicicleta)",2,2,2,2,2,7,7,"Viajó a algún lado (coche, caminando, bicicleta)",4,15,17:00:00,,30,30,30,30,30,105,105,
Majo4-Laura12,Majo4-Laura,Majo4-Laura12,Tarde,Estaba solo,Comió,"Dedicación personal (comió, bañó, descansó)",2,4,2,2,2,7,8,Casa donde vive,4,25,18:00:00,,50,100,50,50,50,175,200,
Majo4-Laura13,Majo4-Laura,Majo4-Laura13,Tarde,Estaba solo,Caminó a algún lado,"Viajó a algún lado (coche, caminando, bicicleta)",2,2,2,2,2,8,8,"Viajó a algún lado (coche, caminando, bicicleta)",4,15,18:00:00,,30,30,30,30,30,120,120,
Majo4-Laura14,Majo4-Laura,Majo4-Laura14,Noche,Con amigos,Habló con alguien,"Relaciones sociales (Charlar, cuidar, actividad religiosa, otras relaciones)",2,2,2,2,2,8,9,"Escuela, Campus, u otro establecimiento educativo",4,10,18:00:00,9,20,20,20,20,20,80,90,90
Majo4-Laura15,Majo4-Laura,Majo4-Laura15,Noche,Con sus hijos jóvenes o nietos,Caminó a algún lado,"Viajó a algún lado (coche, caminando, bicicleta)",2,2,2,2,2,7,9,"Viajó a algún lado (coche, caminando, bicicleta)",4,15,18:00:00,9,30,30,30,30,30,105,135,135
Majo4-Laura16,Majo4-Laura,Majo4-Laura16,Noche,Con pareja e hijos,Cuidó a los niños,"Tareas domésticas (comida, cuida a los hijos, mascotas)",2,2,2,2,2,9,9,Casa donde vive,4,20,19:00:00,9,40,40,40,40,40,180,180,180
Majo4-Laura17,Majo4-Laura,Majo4-Laura17,Noche,Estaba solo,Viajó en bicicleta,"Viajó a algún lado (coche, caminando, bicicleta)",2,2,2,2,2,7,8,"Viajó a algún lado (coche, caminando, bicicleta)",4,10,19:00:00,,20,20,20,20,20,70,80,
Majo4-Laura18,Majo4-Laura,Majo4-Laura18,Noche,Con compañeros de trabajo / escuela / club,Hizo ejercicio o dio paseo,Hizo ejercicio o dio paseo,2,2,2,2,2,8,9,Clubes deportivos,4,90,20:00:00,9,180,180,180,180,180,720,810,810
Majo4-Laura19,Majo4-Laura,Majo4-Laura19,Noche,Estaba solo,Viajó en bicicleta,"Viajó a algún lado (coche, caminando, bicicleta)",2,4,2,2,2,8,8,"Viajó a algún lado (coche, caminando, bicicleta)",4,10,21:00:00,,20,40,20,20,20,80,80,
Majo4-Laura20,Majo4-Laura,Majo4-Laura20,Noche,Estaba solo,Se baño o arregló,"Dedicación personal (comió, bañó, descansó)",4,5,2,2,2,8,8,Casa donde vive,4,15,21:00:00,,60,75,30,30,30,120,120,
Majo4-Laura21,Majo4-Laura,Majo4-Laura21,Noche,Con pareja e hijos,Comió,"Dedicación personal (comió, bañó, descansó)",2,2,2,2,2,8,9,Casa donde vive,4,45,21:00:00,10,90,90,90,90,90,360,405,450
Majo51309Augusto1,Majo51309Augusto,Majo51309Augusto1,Mañana,Estaba solo,Comió,"Dedicación personal (comió, bañó, descansó)",2,2,2,2,2,8,9,Casa donde vive,5,120,8:00:00,,240,240,240,240,240,960,1080,
Majo51309Augusto2,Majo51309Augusto,Majo51309Augusto2,Mañana,Estaba solo,Caminó a algún lado,"Viajó a algún lado (coche, caminando, bicicleta)",2,2,2,2,2,8,9,"Viajó a algún lado (coche, caminando, bicicleta)",5,40,9:00:00,,80,80,80,80,80,320,360,
Majo51309Augusto3,Majo51309Augusto,Majo51309Augusto3,Mañana,Con compañeros de trabajo / escuela / club,Habló con alguien,"Relaciones sociales (Charlar, cuidar, actividad religiosa, otras relaciones)",2,2,2,2,2,8,9,"Hospital, Clínica, Centro de Salud",5,60,10:00:00,10,120,120,120,120,120,480,540,600
Majo51309Augusto4,Majo51309Augusto,Majo51309Augusto4,Mañana,Estaba solo,Caminó a algún lado,"Viajó a algún lado (coche, caminando, bicicleta)",2,2,2,2,2,8,9,"Viajó a algún lado (coche, caminando, bicicleta)",10,15,11:00:00,,30,30,30,30,30,120,135,
Majo51309Augusto5,Majo51309Augusto,Majo51309Augusto5,Mañana,Con otros familiares,Trabajó,Trabajó,2,2,2,2,2,8,8,Otros……..,10,105,12:00:00,9,210,210,210,210,210,840,840,945
Majo51309Augusto6,Majo51309Augusto,Majo51309Augusto6,Tarde,Con otros familiares,Viajó en coche/colectivo/moto,"Viajó a algún lado (coche, caminando, bicicleta)",2,2,2,2,2,8,9,"Viajó a algún lado (coche, caminando, bicicleta)",5,10,12:00:00,9,20,20,20,20,20,80,90,90
Majo51309Augusto7,Majo51309Augusto,Majo51309Augusto7,Tarde,Estaba solo,Vió televisión,"Entretenimiento (radio, televisión, computadora, juego en casa)",2,2,2,2,2,8,9,Casa donde vive,5,90,13:00:00,,180,180,180,180,180,720,810,
Majo51309Augusto8,Majo51309Augusto,Majo51309Augusto8,Tarde,Estaba solo,"Descansó (siesta,tomar mate, té o café)","Dedicación personal (comió, bañó, descansó)",2,2,2,2,2,9,9,Casa donde vive,5,60,15:00:00,,120,120,120,120,120,540,540,
Majo51309Augusto9,Majo51309Augusto,Majo51309Augusto9,Tarde,Estaba solo,Vió televisión,"Entretenimiento (radio, televisión, computadora, juego en casa)",2,2,2,2,2,8,8,Casa donde vive,5,60,16:00:00,,120,120,120,120,120,480,480,
Majo51309Augusto10,Majo51309Augusto,Majo51309Augusto10,Tarde,Con amigos,Jugó (cartas /juegos),"Entretenimiento (radio, televisión, computadora, juego en casa)","2,65732484076433","3,05887969446213","1,82854406130268","1,62559846792212","2,55303514376997","7,29674537332483","7,95789473684211",Casa donde vive,5,180,18:00:00,,"478,31847133758","550,598345003183","329,137931034483","292,607724225982","459,546325878594","1313,41416719847","1432,42105263158",
Majo51309Augusto11,Majo51309Augusto,Majo51309Augusto11,Noche,Con su pareja,Comió,"Dedicación personal (comió, bañó, descansó)",2,2,2,2,2,8,8,Casa donde vive,5,20,19:00:00,9,40,40,40,40,40,160,160,180
Majo51309Augusto12,Majo51309Augusto,Majo51309Augusto12,Noche,Estaba solo,Vió televisión,"Entretenimiento (radio, televisión, computadora, juego en casa)",2,2,2,2,2,9,9,Casa donde vive,5,120,20:00:00,,240,240,240,240,240,1080,1080,
Majo51309Esteban1,Majo51309Esteban,Majo51309Esteban1,Mañana,Estaba solo,Se baño o arregló,"Dedicación personal (comió, bañó, descansó)",2,2,2,2,2,8,9,Casa donde vive,5,10,8:00:00,,20,20,20,20,20,80,90,
Majo51309Esteban2,Majo51309Esteban,Majo51309Esteban2,Mañana,Estaba solo,Comió,"Dedicación personal (comió, bañó, descansó)",2,2,2,2,2,8,9,Casa donde vive,5,90,9:00:00,,180,180,180,180,180,720,810,
Majo51309Esteban3,Majo51309Esteban,Majo51309Esteban3,Mañana,Estaba solo,Hizo tareas domésticas,"Tareas domésticas (comida, cuida a los hijos, mascotas)",2,2,2,2,2,8,5,Casa donde vive,5,20,10:00:00,,40,40,40,40,40,160,100,
Majo51309Esteban4,Majo51309Esteban,Majo51309Esteban4,Mañana,Estaba solo,Escucho radio ,"Entretenimiento (radio, televisión, computadora, juego en casa)",2,2,2,2,2,8,9,Casa donde vive,5,120,11:00:00,,240,240,240,240,240,960,1080,
Majo51309Esteban5,Majo51309Esteban,Majo51309Esteban5,Tarde,Estaba solo,Viajó en coche/colectivo/moto,"Viajó a algún lado (coche, caminando, bicicleta)",2,2,2,2,2,8,8,"Viajó a algún lado (coche, caminando, bicicleta)",9,30,12:00:00,,60,60,60,60,60,240,240,
Majo51309Esteban6,Majo51309Esteban,Majo51309Esteban6,Tarde,Estaba solo,Cuidó a los niños,"Tareas domésticas (comida, cuida a los hijos, mascotas)",2,2,2,2,2,8,8,Parada de colectivo,9,5,13:00:00,,10,10,10,10,10,40,40,
Majo51309Esteban7,Majo51309Esteban,Majo51309Esteban7,Tarde,Con compañeros de trabajo / escuela / club,Hizo ejercicio o dio paseo,Hizo ejercicio o dio paseo,2,2,2,2,2,8,10,Parada de colectivo,9,150,14:00:00,9,300,300,300,300,300,1200,1500,1350
Majo51309Esteban8,Majo51309Esteban,Majo51309Esteban8,Tarde,Estaba solo,Viajó en coche/colectivo/moto,"Viajó a algún lado (coche, caminando, bicicleta)",2,2,2,2,2,8,8,"Viajó a algún lado (coche, caminando, bicicleta)",5,30,15:00:00,,60,60,60,60,60,240,240,
Majo51309Esteban9,Majo51309Esteban,Majo51309Esteban9,Tarde,Estaba solo,Se baño o arregló,"Dedicación personal (comió, bañó, descansó)",2,2,2,2,2,8,8,Casa donde vive,5,10,16:00:00,,20,20,20,20,20,80,80,
Majo51309Esteban10,Majo51309Esteban,Majo51309Esteban10,Tarde,Estaba solo,Viajó en coche/colectivo/moto,"Viajó a algún lado (coche, caminando, bicicleta)",2,2,2,2,2,8,8,"Viajó a algún lado (coche, caminando, bicicleta)",13,15,16:00:00,,30,30,30,30,30,120,120,
Majo51309Esteban11,Majo51309Esteban,Majo51309Esteban11,Tarde,Con su pareja,Caminó a algún lado,"Viajó a algún lado (coche, caminando, bicicleta)",2,2,2,2,2,8,9,"Viajó a algún lado (coche, caminando, bicicleta)",14,15,16:00:00,10,30,30,30,30,30,120,135,150
Majo51309Esteban12,Majo51309Esteban,Majo51309Esteban12,Tarde,Con otros familiares,Habló con alguien,"Relaciones sociales (Charlar, cuidar, actividad religiosa, otras relaciones)",2,2,2,2,2,8,9,Casa  de novio/a,14,60,17:00:00,9,120,120,120,120,120,480,540,540
Majo51309Esteban13,Majo51309Esteban,Majo51309Esteban13,Tarde,Con su pareja,Comió,"Dedicación personal (comió, bañó, descansó)",2,2,2,2,2,7,9,Casa  de novio/a,14,450,21:00:00,9,900,900,900,900,900,3150,4050,4050
Majo51309Esteban14,Majo51309Esteban,Majo51309Esteban14,Noche,Con su pareja,Vió televisión,"Entretenimiento (radio, televisión, computadora, juego en casa)",2,2,2,2,2,8,10,Casa  de novio/a,14,90,0:00:00,9,180,180,180,180,180,720,900,810
Majo51309Esteban15,Majo51309Esteban,Majo51309Esteban15,Noche,Estaba solo,Caminó a algún lado,"Viajó a algún lado (coche, caminando, bicicleta)",2,2,2,2,2,8,8,"Viajó a algún lado (coche, caminando, bicicleta)",14,5,0:00:00,,10,10,10,10,10,40,40,
Majo51309Esteban16,Majo51309Esteban,Majo51309Esteban16,Noche,Estaba solo,Viajó en coche/colectivo/moto,"Viajó a algún lado (coche, caminando, bicicleta)",2,2,2,2,2,8,8,"Viajó a algún lado (coche, caminando, bicicleta)",5,15,0:00:00,,30,30,30,30,30,120,120,
Majo51309Esteban17,Majo51309Esteban,Majo51309Esteban17,Noche,Estaba solo,Hizo tareas domésticas,"Tareas domésticas (comida, cuida a los hijos, mascotas)",2,2,2,2,2,8,9,Casa donde vive,5,30,0:00:00,,60,60,60,60,60,240,270,
Majo51309Esteban18,Majo51309Esteban,Majo51309Esteban18,Noche,Con otros familiares,Comió,"Dedicación personal (comió, bañó, descansó)",2,2,2,2,2,9,9,Casa donde vive,5,120,0:00:00,9,240,240,240,240,240,1080,1080,1080
Majo51309Esteban19,Majo51309Esteban,Majo51309Esteban19,Noche,Estaba solo,Vió televisión,"Entretenimiento (radio, televisión, computadora, juego en casa)",1,2,2,2,2,8,8,Casa donde vive,5,100,0:00:00,,100,200,200,200,200,800,800,
Majo51309Graciela1,Majo51309Graciela,Majo51309Graciela1,Mañana,Estaba solo,Se baño o arregló,"Dedicación personal (comió, bañó, descansó)",2,2,2,2,2,8,9,Casa donde vive,5,20,7:00:00,,40,40,40,40,40,160,180,
Majo51309Graciela2,Majo51309Graciela,Majo51309Graciela2,Mañana,Estaba solo,Comió,"Dedicación personal (comió, bañó, descansó)",2,2,2,2,2,8,9,Casa donde vive,5,20,7:00:00,,40,40,40,40,40,160,180,
Majo51309Graciela3,Majo51309Graciela,Majo51309Graciela3,Mañana,Estaba solo,Hizo tareas domésticas,"Tareas domésticas (comida, cuida a los hijos, mascotas)",2,2,2,2,2,8,9,Casa donde vive,5,240,9:00:00,,480,480,480,480,480,1920,2160,
Majo51309Graciela4,Majo51309Graciela,Majo51309Graciela4,Mañana,Con amigos,"Descansó (siesta,tomar mate, té o café)","Dedicación personal (comió, bañó, descansó)",2,2,2,2,2,8,10,Casa donde vive,5,60,12:00:00,9,120,120,120,120,120,480,600,540
Majo51309Graciela5,Majo51309Graciela,Majo51309Graciela5,Tarde,Con amigos,Habló con alguien,"Relaciones sociales (Charlar, cuidar, actividad religiosa, otras relaciones)",2,2,2,2,2,8,9,Casa donde vive,5,120,13:00:00,9,240,240,240,240,240,960,1080,1080
Majo51309Graciela6,Majo51309Graciela,Majo51309Graciela6,Tarde,Estaba solo,"Descansó (siesta,tomar mate, té o café)","Dedicación personal (comió, bañó, descansó)",2,2,2,2,2,8,9,Casa donde vive,5,120,15:00:00,,240,240,240,240,240,960,1080,
Majo51309Graciela7,Majo51309Graciela,Majo51309Graciela7,Tarde,Con sus hijos jóvenes o nietos,Comió,"Dedicación personal (comió, bañó, descansó)",2,2,2,2,2,8,9,Casa donde vive,5,60,17:00:00,9,120,120,120,120,120,480,540,540
Majo51309Graciela8,Majo51309Graciela,Majo51309Graciela8,Tarde,Con compañeros de trabajo / escuela / club,Habló con alguien,"Relaciones sociales (Charlar, cuidar, actividad religiosa, otras relaciones)",2,2,2,2,2,8,8,Casa donde vive,5,60,18:00:00,9,120,120,120,120,120,480,480,540
Majo51309Graciela9,Majo51309Graciela,Majo51309Graciela9,Noche,Estaba solo,Preparó comida,"Tareas domésticas (comida, cuida a los hijos, mascotas)",2,2,2,2,2,8,10,Casa donde vive,5,90,19:00:00,,180,180,180,180,180,720,900,
Majo51309Graciela10,Majo51309Graciela,Majo51309Graciela10,Noche,Estaba solo,Preparó comida,"Tareas domésticas (comida, cuida a los hijos, mascotas)",2,2,2,2,2,8,10,Casa donde vive,5,30,20:00:00,,60,60,60,60,60,240,300,
Majo51309Graciela11,Majo51309Graciela,Majo51309Graciela11,Noche,Con sus hijos jóvenes o nietos,Cuidó a los niños,"Tareas domésticas (comida, cuida a los hijos, mascotas)",2,2,2,2,2,8,10,Casa donde vive,5,60,21:00:00,10,120,120,120,120,120,480,600,600
Majo51309Graciela12,Majo51309Graciela,Majo51309Graciela12,Noche,"Personal de servicios, responsables de nuestra actividad, extraños ",Hizo tareas domésticas,"Tareas domésticas (comida, cuida a los hijos, mascotas)",2,2,2,2,2,8,9,Casa donde vive,5,60,22:00:00,9,120,120,120,120,120,480,540,540
Majo51309Graciela13,Majo51309Graciela,Majo51309Graciela13,Noche,Estaba solo,Vió televisión,"Entretenimiento (radio, televisión, computadora, juego en casa)",2,2,2,2,2,8,9,Casa donde vive,5,120,23:00:00,,240,240,240,240,240,960,1080,
Majo51309Marta1,Majo51309Marta,Majo51309Marta1,Mañana,Estaba solo,Comió,"Dedicación personal (comió, bañó, descansó)",2,8,4,2,2,4,4,Casa donde vive,5,20,8:00:00,,40,160,80,40,40,80,80,
Majo51309Marta2,Majo51309Marta,Majo51309Marta2,Mañana,Estaba solo,Hizo tareas domésticas,"Tareas domésticas (comida, cuida a los hijos, mascotas)",2,7,2,2,6,5,8,Casa donde vive,5,60,9:00:00,,120,420,120,120,360,300,480,
Majo51309Marta3,Majo51309Marta,Majo51309Marta3,Mañana,Estaba solo,Viajó en coche/colectivo/moto,"Viajó a algún lado (coche, caminando, bicicleta)",2,6,2,2,4,6,8,"Viajó a algún lado (coche, caminando, bicicleta)",13,10,9:00:00,,20,60,20,20,40,60,80,
Majo51309Marta4,Majo51309Marta,Majo51309Marta4,Mañana,Estaba solo,Caminó a algún lado,"Viajó a algún lado (coche, caminando, bicicleta)",2,5,2,2,2,6,7,"Viajó a algún lado (coche, caminando, bicicleta)",14,10,10:00:00,,20,50,20,20,20,60,70,
Majo51309Marta5,Majo51309Marta,Majo51309Marta5,Mañana,Con pareja e hijos,Habló con alguien,"Relaciones sociales (Charlar, cuidar, actividad religiosa, otras relaciones)",5,2,2,2,2,8,9,Casa de parientes,14,420,13:00:00,9,2100,840,840,840,840,3360,3780,3780
Majo51309Marta6,Majo51309Marta,Majo51309Marta6,Tarde,Con sus hijos adultos,Comió,"Dedicación personal (comió, bañó, descansó)",2,2,2,2,2,7,8,Casa de parientes,14,30,17:00:00,9,60,60,60,60,60,210,240,270
Majo51309Marta7,Majo51309Marta,Majo51309Marta7,Tarde,Con su pareja,"Descansó (siesta,tomar mate, té o café)","Dedicación personal (comió, bañó, descansó)",2,5,2,2,2,8,9,Casa de parientes,14,120,18:00:00,9,240,600,240,240,240,960,1080,1080
Majo51309Marta8,Majo51309Marta,Majo51309Marta8,Tarde,Con sus hijos jóvenes o nietos,"Descansó (siesta,tomar mate, té o café)","Dedicación personal (comió, bañó, descansó)",2,3,2,2,2,8,8,Casa de parientes,14,100,20:00:00,10,200,300,200,200,200,800,800,1000
Majo51309Marta9,Majo51309Marta,Majo51309Marta9,Tarde,Estaba solo,Caminó a algún lado,"Viajó a algún lado (coche, caminando, bicicleta)",2,3,2,2,2,7,7,"Viajó a algún lado (coche, caminando, bicicleta)",14,10,21:00:00,,20,30,20,20,20,70,70,
Majo51309Marta10,Majo51309Marta,Majo51309Marta10,Tarde,Estaba solo,Viajó en coche/colectivo/moto,"Viajó a algún lado (coche, caminando, bicicleta)",2,4,2,2,2,8,7,"Viajó a algún lado (coche, caminando, bicicleta)",12,10,21:00:00,,20,40,20,20,20,80,70,
Majo51309Marta11,Majo51309Marta,Majo51309Marta11,Tarde,Estaba solo,Caminó a algún lado,"Viajó a algún lado (coche, caminando, bicicleta)",2,2,2,2,2,7,8,"Viajó a algún lado (coche, caminando, bicicleta)",12,10,21:00:00,,20,20,20,20,20,70,80,
Majo51309Marta12,Majo51309Marta,Majo51309Marta12,Tarde,Estaba solo,Se baño o arregló,"Dedicación personal (comió, bañó, descansó)",2,2,2,2,2,8,8,Parada de colectivo,12,20,21:00:00,,40,40,40,40,40,160,160,
Majo51309Marta13,Majo51309Marta,Majo51309Marta13,Tarde,Estaba solo,Vió televisión,"Entretenimiento (radio, televisión, computadora, juego en casa)",2,2,2,2,2,8,9,Parada de colectivo,12,120,23:00:00,,240,240,240,240,240,960,1080,
Majo51309Marta14,Majo51309Marta,Majo51309Marta14,Noche,Estaba solo,Preparó comida,"Tareas domésticas (comida, cuida a los hijos, mascotas)",2,4,2,2,2,8,9,Parada de colectivo,12,30,0:00:00,,60,120,60,60,60,240,270,
Majo51309Marta15,Majo51309Marta,Majo51309Marta15,Noche,Con su pareja,Comió,"Dedicación personal (comió, bañó, descansó)",2,3,2,2,2,7,8,Parada de colectivo,12,60,0:00:00,9,120,180,120,120,120,420,480,540
Majo51309Marta16,Majo51309Marta,Majo51309Marta16,Noche,Estaba solo,Hizo tareas domésticas,"Tareas domésticas (comida, cuida a los hijos, mascotas)",2,5,2,2,2,8,8,Parada de colectivo,12,20,0:00:00,,40,100,40,40,40,160,160,
Majo51309rodrigo1,Majo51309rodrigo,Majo51309rodrigo1,Mañana,Estaba solo,Comió,"Dedicación personal (comió, bañó, descansó)",4,4,2,2,2,8,8,Casa donde vive,5,20,8:00:00,,80,80,40,40,40,160,160,
Majo51309rodrigo2,Majo51309rodrigo,Majo51309rodrigo2,Mañana,Estaba solo,Se baño o arregló,"Dedicación personal (comió, bañó, descansó)",2,3,2,2,2,7,7,Casa donde vive,5,10,8:00:00,,20,30,20,20,20,70,70,
Majo51309rodrigo3,Majo51309rodrigo,Majo51309rodrigo3,Mañana,Con compañeros de trabajo / escuela / club,Viajó en coche/colectivo/moto,"Viajó a algún lado (coche, caminando, bicicleta)",3,3,2,2,2,7,8,"Viajó a algún lado (coche, caminando, bicicleta)",2,15,8:00:00,9,45,45,30,30,30,105,120,135
Majo51309rodrigo4,Majo51309rodrigo,Majo51309rodrigo4,Mañana,Con compañeros de trabajo / escuela / club,Trabajó,Trabajó,2,5,2,2,2,7,8,Casa de cliente,2,600,13:00:00,9,1200,3000,1200,1200,1200,4200,4800,5400
Majo51309rodrigo5,Majo51309rodrigo,Majo51309rodrigo5,Noche,Estaba solo,Viajó en coche/colectivo/moto,"Viajó a algún lado (coche, caminando, bicicleta)",2,2,2,2,2,8,8,"Viajó a algún lado (coche, caminando, bicicleta)",5,15,18:00:00,,30,30,30,30,30,120,120,
Majo51309rodrigo6,Majo51309rodrigo,Majo51309rodrigo6,Noche,Estaba solo,Se baño o arregló,"Dedicación personal (comió, bañó, descansó)",2,2,2,2,2,8,8,Casa donde vive,5,30,19:00:00,,60,60,60,60,60,240,240,
Majo51309rodrigo7,Majo51309rodrigo,Majo51309rodrigo7,Noche,Con su pareja,Comió,"Dedicación personal (comió, bañó, descansó)",2,2,2,2,2,7,9,Casa donde vive,5,50,19:00:00,9,100,100,100,100,100,350,450,450
Majo51309rodrigo8,Majo51309rodrigo,Majo51309rodrigo8,Noche,Con sus hijos jóvenes o nietos,Jugó (cartas /juegos),"Entretenimiento (radio, televisión, computadora, juego en casa)",2,2,2,2,2,7,9,Casa donde vive,5,70,20:00:00,9,140,140,140,140,140,490,630,630
Majo51309rodrigo9,Majo51309rodrigo,Majo51309rodrigo9,Noche,Con pareja e hijos,Comió,"Dedicación personal (comió, bañó, descansó)",2,2,2,2,2,8,8,Casa donde vive,5,60,21:00:00,9,120,120,120,120,120,480,480,540
Majo51309rodrigo10,Majo51309rodrigo,Majo51309rodrigo10,Noche,Con pareja e hijos,Vió televisión,"Entretenimiento (radio, televisión, computadora, juego en casa)",2,2,2,2,2,7,9,Casa donde vive,5,120,23:00:00,9,240,240,240,240,240,840,1080,1080
Majo71221Magalí1,Majo71221Magalí,Majo71221Magalí1,Mañana,Estaba solo,Trabajó,Trabajó,2,8,9,2,6,3,8,Casa donde vive,7,190,10:00:00,,380,1520,1710,380,1140,570,1520,
Majo71221Magalí2,Majo71221Magalí,Majo71221Magalí2,Mañana,Estaba solo,Preparó comida,"Tareas domésticas (comida, cuida a los hijos, mascotas)",6,7,5,1,3,6,6,Casa donde vive,7,30,12:00:00,,180,210,150,30,90,180,180,
Majo71221Magalí3,Majo71221Magalí,Majo71221Magalí3,Tarde,Con su pareja,Comió,"Dedicación personal (comió, bañó, descansó)",5,7,2,2,4,7,7,Casa donde vive,7,40,12:00:00,8,200,280,80,80,160,280,280,320
Majo71221Magalí4,Majo71221Magalí,Majo71221Magalí4,Tarde,Estaba solo,Hizo tareas domésticas,"Tareas domésticas (comida, cuida a los hijos, mascotas)",4,6,2,2,2,6,7,Casa donde vive,7,100,14:00:00,,400,600,200,200,200,600,700,
Majo71221Magalí5,Majo71221Magalí,Majo71221Magalí5,Tarde,Estaba solo,Se baño o arregló,"Dedicación personal (comió, bañó, descansó)",5,6,2,2,2,7,8,Casa donde vive,7,10,15:00:00,,50,60,20,20,20,70,80,
Majo71221Magalí6,Majo71221Magalí,Majo71221Magalí6,Tarde,Estaba solo,Jugó (cartas /juegos),"Entretenimiento (radio, televisión, computadora, juego en casa)",4,4,2,2,2,8,9,Casa donde vive,7,20,15:00:00,,80,80,40,40,40,160,180,
Majo71221Magalí7,Majo71221Magalí,Majo71221Magalí7,Tarde,Estaba solo,Viajó en coche/colectivo/moto,"Viajó a algún lado (coche, caminando, bicicleta)",5,7,4,1,5,8,9,"Viajó a algún lado (coche, caminando, bicicleta)",15,15,15:00:00,,75,105,60,15,75,120,135,
Majo71221Magalí8,Majo71221Magalí,Majo71221Magalí8,Tarde,Con compañeros de trabajo / escuela / club,Trabajó,Trabajó,5,7,2,2,3,8,9,Lugar de trabajo,15,210,17:00:00,10,1050,1470,420,420,630,1680,1890,2100
Majo71221Magalí9,Majo71221Magalí,Majo71221Magalí9,Noche,Estaba solo,Viajó en coche/colectivo/moto,"Viajó a algún lado (coche, caminando, bicicleta)",2,6,2,2,2,8,8,"Viajó a algún lado (coche, caminando, bicicleta)",15,15,19:00:00,,30,90,30,30,30,120,120,
Majo71221Magalí10,Majo71221Magalí,Majo71221Magalí10,Noche,Estaba solo,Fue de compras,Compras,2,6,2,2,2,8,8,"Supermercado, despensa, verdulería, carnicería, dietética",15,30,19:00:00,,60,180,60,60,60,240,240,
Majo71221Magalí11,Majo71221Magalí,Majo71221Magalí11,Noche,Estaba solo,Viajó en coche/colectivo/moto,"Viajó a algún lado (coche, caminando, bicicleta)",3,6,2,2,2,7,7,"Viajó a algún lado (coche, caminando, bicicleta)",7,15,20:00:00,,45,90,30,30,30,105,105,
Majo71221Magalí12,Majo71221Magalí,Majo71221Magalí12,Noche,Con su pareja,Preparó comida,"Tareas domésticas (comida, cuida a los hijos, mascotas)",2,2,2,2,2,9,9,Casa donde vive,7,40,20:00:00,10,80,80,80,80,80,360,360,400
Majo71221Magalí13,Majo71221Magalí,Majo71221Magalí13,Noche,Con su pareja,Vió televisión,"Entretenimiento (radio, televisión, computadora, juego en casa)",4,4,2,2,2,8,8,Casa donde vive,7,80,21:00:00,9,320,320,160,160,160,640,640,720
Majo71221Magalí14,Majo71221Magalí,Majo71221Magalí14,Noche,Con su pareja,Vió televisión,"Entretenimiento (radio, televisión, computadora, juego en casa)",3,2,2,2,2,8,8,Casa donde vive,7,90,22:00:00,9,270,180,180,180,180,720,720,810
Majo71221Magalí15,Majo71221Magalí,Majo71221Magalí15,Noche,Estaba solo,Se baño o arregló,"Dedicación personal (comió, bañó, descansó)",2,4,2,2,2,9,9,Casa donde vive,7,15,23:00:00,,30,60,30,30,30,135,135,
Majo73005Maricel1,Majo73005Maricel,Majo73005Maricel1,Mañana,Con su pareja,Comió,"Dedicación personal (comió, bañó, descansó)",2,2,2,2,2,7,6,Casa donde vive,7,30,10:00:00,5,60,60,60,60,60,210,180,150
Majo73005Maricel2,Majo73005Maricel,Majo73005Maricel2,Mañana,Estaba solo,Hizo tareas domésticas,"Tareas domésticas (comida, cuida a los hijos, mascotas)",2,2,2,2,2,7,5,Casa donde vive,7,60,11:00:00,,120,120,120,120,120,420,300,
Majo73005Maricel3,Majo73005Maricel,Majo73005Maricel3,Mañana,Estaba solo,Preparó comida,"Tareas domésticas (comida, cuida a los hijos, mascotas)",3,2,2,2,2,7,7,Casa donde vive,7,60,12:00:00,,180,120,120,120,120,420,420,
Majo73005Maricel4,Majo73005Maricel,Majo73005Maricel4,Tarde,Con pareja e hijos,Comió,"Dedicación personal (comió, bañó, descansó)",2,2,2,2,2,8,8,Casa donde vive,7,60,13:00:00,9,120,120,120,120,120,480,480,540
