Código_Actividad,identificacion,Código_Actividad,Hora del Dia,Etiqueta Interacción,Etiqueta Actividad,Etiqueta Actividad Resumida,Preocupación,Prisa,Irritación,Depresión,Tensión,Calma,Disfrute,Lugar de actividad,Zona_Actividad,Total en minutos de la actividad,Hora actividad redondeada,A_gusto_en_la_Interacción,Minutos*Preoc,Minutos*Prisa,Minutos*Irritación,Minutos*Depresión,Minutos*Tensión,Minutos*Calma,Minutos*Disfrute,Minutos*AgustInter
Claudia11109Marcela2,Claudia11109Marcela,Claudia11109Marcela2,Mañana,Con sus hijos jóvenes o nietos,Comió,"Dedicación personal (comió, bañó, descansó)",2,4,1,1,2,9,9,Casa donde vive,11,10,7:00:00,10,20,40,10,10,20,90,90,100
Claudia11109Marcela3,Claudia11109Marcela,Claudia11109Marcela3,Mañana,Con sus hijos jóvenes o nietos,Caminó a algún lado,"Viajó a algún lado (coche, caminando, bicicleta)",7,7,2,1,3,9,7,"Viajó a algún lado (coche, caminando, bicicleta)",12,15,7:00:00,9,105,105,30,15,45,135,105,135
Claudia11109Marcela4,Claudia11109Marcela,Claudia11109Marcela4,Mañana,Con compañeros de trabajo / escuela / club,Trabajó,Trabajó,7,5,7,1,7,5,7,Lugar de trabajo,12,420,11:00:00,7,2940,2100,2940,420,2940,2100,2940,2940
Claudia11109Marcela5,Claudia11109Marcela,Claudia11109Marcela5,Tarde,Estaba solo,Caminó a algún lado,"Viajó a algún lado (coche, caminando, bicicleta)",5,5,2,1,5,5,8,"Viajó a algún lado (coche, caminando, bicicleta)",11,15,14:00:00,,75,75,30,15,75,75,120,
Claudia11109Marcela6,Claudia11109Marcela,Claudia11109Marcela6,Tarde,Con sus hijos jóvenes o nietos,Comió,"Dedicación personal (comió, bañó, descansó)",5,7,5,1,5,7,7,Casa donde vive,11,10,14:00:00,9,50,70,50,10,50,70,70,90
Claudia11109Marcela7,Claudia11109Marcela,Claudia11109Marcela7,Tarde,Con compañeros de trabajo / escuela / club,Hizo ejercicio o dio paseo,Hizo ejercicio o dio paseo,2,2,2,1,2,9,9,Casa donde vive,11,75,15:00:00,9,150,150,150,75,150,675,675,675
Claudia11109Marcela8,Claudia11109Marcela,Claudia11109Marcela8,Tarde,Estaba solo,Se baño o arregló,"Dedicación personal (comió, bañó, descansó)",3,5,2,1,5,9,9,Casa donde vive,11,20,16:00:00,,60,100,40,20,100,180,180,
Claudia11109Marcela9,Claudia11109Marcela,Claudia11109Marcela9,Tarde,Con pareja e hijos,Comió,"Dedicación personal (comió, bañó, descansó)",3,2,2,1,2,9,9,Casa donde vive,11,30,16:00:00,9,90,60,60,30,60,270,270,270
Claudia11109Marcela10,Claudia11109Marcela,Claudia11109Marcela10,Noche,Con pareja e hijos,Hizo tareas domésticas,"Tareas domésticas (comida, cuida a los hijos, mascotas)",3,8,3,1,3,9,9,Casa donde vive,11,120,18:00:00,9,360,960,360,120,360,1080,1080,1080
Claudia11109Marcela11,Claudia11109Marcela,Claudia11109Marcela11,Noche,Con pareja e hijos,Preparó comida,"Tareas domésticas (comida, cuida a los hijos, mascotas)",5,7,3,1,3,8,9,Casa donde vive,11,90,19:00:00,9,450,630,270,90,270,720,810,810
Claudia11109Marcela12,Claudia11109Marcela,Claudia11109Marcela12,Noche,Con pareja e hijos,Comió,"Dedicación personal (comió, bañó, descansó)",3,5,3,1,2,9,9,Casa donde vive,11,30,20:00:00,9,90,150,90,30,60,270,270,270
Claudia11109Marcela13,Claudia11109Marcela,Claudia11109Marcela13,Noche,Con pareja e hijos,Cuidó a los niños,"Tareas domésticas (comida, cuida a los hijos, mascotas)",3,7,5,1,5,8,7,Casa donde vive,11,60,21:00:00,9,180,420,300,60,300,480,420,540
Claudia11111Juan Pablo1,Claudia11111Juan Pablo,Claudia11111Juan Pablo1,Mañana,Con su pareja,Comió,"Dedicación personal (comió, bañó, descansó)",1,1,1,1,7,6,9,Casa donde vive,11,30,6:00:00,7,30,30,30,30,210,180,270,210
Claudia11111Juan Pablo2,Claudia11111Juan Pablo,Claudia11111Juan Pablo2,Mañana,Estaba solo,Se baño o arregló,"Dedicación personal (comió, bañó, descansó)",6,6,1,1,4,6,8,Casa donde vive,11,10,7:00:00,,60,60,10,10,40,60,80,
Claudia11111Juan Pablo3,Claudia11111Juan Pablo,Claudia11111Juan Pablo3,Mañana,Estaba solo,Viajó en coche/colectivo/moto,"Viajó a algún lado (coche, caminando, bicicleta)",3,6,1,1,1,6,8,"Viajó a algún lado (coche, caminando, bicicleta)",13,15,7:00:00,,45,90,15,15,15,90,120,
Claudia11111Juan Pablo4,Claudia11111Juan Pablo,Claudia11111Juan Pablo4,Mañana,Con compañeros de trabajo / escuela / club,Trabajó,Trabajó,1,1,1,1,1,8,10,Lugar de trabajo,13,480,11:00:00,10,480,480,480,480,480,3840,4800,4800
Claudia11111Juan Pablo5,Claudia11111Juan Pablo,Claudia11111Juan Pablo5,Tarde,Estaba solo,Viajó en coche/colectivo/moto,"Viajó a algún lado (coche, caminando, bicicleta)",1,1,1,1,1,7,8,"Viajó a algún lado (coche, caminando, bicicleta)",11,15,15:00:00,,15,15,15,15,15,105,120,
Claudia11111Juan Pablo6,Claudia11111Juan Pablo,Claudia11111Juan Pablo6,Tarde,Con su pareja,Comió,"Dedicación personal (comió, bañó, descansó)",1,1,1,1,1,8,10,Casa donde vive,11,30,15:00:00,9,30,30,30,30,30,240,300,270
Claudia11111Juan Pablo7,Claudia11111Juan Pablo,Claudia11111Juan Pablo7,Tarde,Estaba solo,"Descansó (siesta,tomar mate, té o café)","Dedicación personal (comió, bañó, descansó)",1,1,1,1,1,8,10,Casa donde vive,11,120,17:00:00,,120,120,120,120,120,960,1200,
Claudia11111Juan Pablo8,Claudia11111Juan Pablo,Claudia11111Juan Pablo8,Tarde,Estaba solo,Comió,"Dedicación personal (comió, bañó, descansó)",1,1,1,1,2,8,9,Casa donde vive,11,10,18:00:00,,10,10,10,10,20,80,90,
Claudia11111Juan Pablo9,Claudia11111Juan Pablo,Claudia11111Juan Pablo9,Noche,Estaba solo,Hizo tareas domésticas,"Tareas domésticas (comida, cuida a los hijos, mascotas)",1,1,1,1,1,8,8,Casa donde vive,11,60,18:00:00,,60,60,60,60,60,480,480,
Claudia11111Juan Pablo10,Claudia11111Juan Pablo,Claudia11111Juan Pablo10,Noche,Con su pareja,Trabajó,Trabajó,1,1,1,1,1,8,9,Casa donde vive,11,120,20:00:00,10,120,120,120,120,120,960,1080,1200
Claudia11111Juan Pablo11,Claudia11111Juan Pablo,Claudia11111Juan Pablo11,Noche,Estaba solo,Vió televisión,"Entretenimiento (radio, televisión, computadora, juego en casa)",1,1,1,1,1,7,8,Casa donde vive,11,60,21:00:00,,60,60,60,60,60,420,480,
Claudia11111Juan Pablo12,Claudia11111Juan Pablo,Claudia11111Juan Pablo12,Noche,Con su pareja,Comió,"Dedicación personal (comió, bañó, descansó)",1,1,1,1,1,8,9,Casa donde vive,11,30,22:00:00,10,30,30,30,30,30,240,270,300
Claudia11111Juan Pablo13,Claudia11111Juan Pablo,Claudia11111Juan Pablo13,Noche,Estaba solo,Se baño o arregló,"Dedicación personal (comió, bañó, descansó)",1,1,1,1,1,8,9,Casa donde vive,11,15,22:00:00,,15,15,15,15,15,120,135,
Claudia11111Rosa1,Claudia11111Rosa,Claudia11111Rosa1,Mañana,Estaba solo,Comió,"Dedicación personal (comió, bañó, descansó)",1,2,2,2,2,8,9,Casa donde vive,11,60,7:00:00,,60,120,120,120,120,480,540,
Claudia11111Rosa2,Claudia11111Rosa,Claudia11111Rosa2,Mañana,Estaba solo,Se baño o arregló,"Dedicación personal (comió, bañó, descansó)",2,2,2,2,2,8,9,Casa donde vive,11,30,8:00:00,,60,60,60,60,60,240,270,
Claudia11111Rosa3,Claudia11111Rosa,Claudia11111Rosa3,Mañana,Estaba solo,Caminó a algún lado,"Viajó a algún lado (coche, caminando, bicicleta)",2,2,1,1,1,1,9,"Viajó a algún lado (coche, caminando, bicicleta)",11,15,8:00:00,,30,30,15,15,15,15,135,
Claudia11111Rosa4,Claudia11111Rosa,Claudia11111Rosa4,Mañana,Con otros familiares,Cuidó a los niños,"Tareas domésticas (comida, cuida a los hijos, mascotas)",1,1,1,1,1,8,10,Casa de parientes,11,300,11:00:00,10,300,300,300,300,300,2400,3000,3000
Claudia11111Rosa5,Claudia11111Rosa,Claudia11111Rosa5,Tarde,Estaba solo,Caminó a algún lado,"Viajó a algún lado (coche, caminando, bicicleta)",1,2,2,1,1,8,8,"Viajó a algún lado (coche, caminando, bicicleta)",11,15,14:00:00,,15,30,30,15,15,120,120,
Claudia11111Rosa6,Claudia11111Rosa,Claudia11111Rosa6,Tarde,Estaba solo,Hizo tareas domésticas,"Tareas domésticas (comida, cuida a los hijos, mascotas)",3,4,1,2,3,6,8,Casa donde vive,11,180,15:00:00,,540,720,180,360,540,1080,1440,
Claudia11111Rosa7,Claudia11111Rosa,Claudia11111Rosa7,Tarde,Estaba solo,Se baño o arregló,"Dedicación personal (comió, bañó, descansó)",3,2,2,2,2,7,9,Casa donde vive,11,30,17:00:00,,90,60,60,60,60,210,270,
Claudia11111Rosa8,Claudia11111Rosa,Claudia11111Rosa8,Noche,Estaba solo,Caminó a algún lado,"Viajó a algún lado (coche, caminando, bicicleta)",3,2,2,2,2,7,8,"Viajó a algún lado (coche, caminando, bicicleta)",12,25,17:00:00,,75,50,50,50,50,175,200,
Claudia11111Rosa9,Claudia11111Rosa,Claudia11111Rosa9,Noche,Estaba solo,Fue de compras,Compras,3,1,1,1,2,6,7,Comercio de ropa u otro tipo de comercio de compras,12,70,18:00:00,,210,70,70,70,140,420,490,
Claudia11111Rosa10,Claudia11111Rosa,Claudia11111Rosa10,Noche,Estaba solo,Caminó a algún lado,"Viajó a algún lado (coche, caminando, bicicleta)",3,2,1,1,2,6,7,"Viajó a algún lado (coche, caminando, bicicleta)",11,25,19:00:00,,75,50,25,25,50,150,175,
Claudia11111Rosa11,Claudia11111Rosa,Claudia11111Rosa11,Noche,Con sus hijos adultos,Habló con alguien,"Relaciones sociales (Charlar, cuidar, actividad religiosa, otras relaciones)",8,2,7,1,7,5,7,Casa donde vive,11,20,19:00:00,10,160,40,140,20,140,100,140,200
Claudia11111Rosa12,Claudia11111Rosa,Claudia11111Rosa12,Noche,Estaba solo,Comió,"Dedicación personal (comió, bañó, descansó)",6,1,3,1,3,7,8,Casa donde vive,11,30,20:00:00,,180,30,90,30,90,210,240,
Claudia11111Rosa13,Claudia11111Rosa,Claudia11111Rosa13,Noche,Estaba solo,Vió televisión,"Entretenimiento (radio, televisión, computadora, juego en casa)",1,1,1,1,1,8,9,Casa donde vive,11,90,21:00:00,,90,90,90,90,90,720,810,
Claudia11113Angélica1,Claudia11113Angélica,Claudia11113Angélica1,Mañana,Estaba solo,Comió,"Dedicación personal (comió, bañó, descansó)",2,1,6,1,1,8,9,Casa donde vive,11,20,9:00:00,,40,20,120,20,20,160,180,
Claudia11113Angélica2,Claudia11113Angélica,Claudia11113Angélica2,Mañana,Estaba solo,Se baño o arregló,"Dedicación personal (comió, bañó, descansó)",1,1,1,1,1,7,9,Casa donde vive,11,15,10:00:00,,15,15,15,15,15,105,135,
Claudia11113Angélica3,Claudia11113Angélica,Claudia11113Angélica3,Mañana,Estaba solo,Caminó a algún lado,"Viajó a algún lado (coche, caminando, bicicleta)",1,1,1,1,1,6,9,"Viajó a algún lado (coche, caminando, bicicleta)",12,25,10:00:00,,25,25,25,25,25,150,225,
Claudia11113Angélica4,Claudia11113Angélica,Claudia11113Angélica4,Mañana,Estaba solo,Comió,"Dedicación personal (comió, bañó, descansó)",1,1,1,1,1,7,9,Bar o café,12,60,11:00:00,,60,60,60,60,60,420,540,
Claudia11113Angélica5,Claudia11113Angélica,Claudia11113Angélica5,Mañana,Estaba solo,Caminó a algún lado,"Viajó a algún lado (coche, caminando, bicicleta)",1,1,1,1,1,8,9,"Viajó a algún lado (coche, caminando, bicicleta)",11,25,11:00:00,,25,25,25,25,25,200,225,
Claudia11113Angélica6,Claudia11113Angélica,Claudia11113Angélica6,Tarde,Estaba solo,Preparó comida,"Tareas domésticas (comida, cuida a los hijos, mascotas)",1,1,1,1,2,8,8,Casa donde vive,11,30,12:00:00,,30,30,30,30,60,240,240,
Claudia11113Angélica7,Claudia11113Angélica,Claudia11113Angélica7,Tarde,Estaba solo,Vió televisión,"Entretenimiento (radio, televisión, computadora, juego en casa)",1,3,1,1,1,8,9,Casa donde vive,11,120,13:00:00,,120,360,120,120,120,960,1080,
Claudia11113Angélica8,Claudia11113Angélica,Claudia11113Angélica8,Tarde,Estaba solo,"Descansó (siesta,tomar mate, té o café)","Dedicación personal (comió, bañó, descansó)",1,1,"1,82854406130268",1,1,8,9,Casa donde vive,11,105,15:00:00,,105,105,"191,997126436782",105,105,840,945,
Claudia11113Angélica9,Claudia11113Angélica,Claudia11113Angélica9,Tarde,Estaba solo,Leyó / Estudió,Leyó o estudió,2,2,2,1,1,8,9,Casa donde vive,11,120,17:00:00,,240,240,240,120,120,960,1080,
Claudia11113Angélica10,Claudia11113Angélica,Claudia11113Angélica10,Noche,Estaba solo,Hizo tareas domésticas,"Tareas domésticas (comida, cuida a los hijos, mascotas)",1,1,1,1,1,8,9,Casa donde vive,11,75,18:00:00,,75,75,75,75,75,600,675,
Claudia11113Angélica11,Claudia11113Angélica,Claudia11113Angélica11,Noche,Estaba solo,Vió televisión,"Entretenimiento (radio, televisión, computadora, juego en casa)",1,1,1,1,1,8,9,Casa donde vive,11,60,20:00:00,,60,60,60,60,60,480,540,
Claudia11113Angélica12,Claudia11113Angélica,Claudia11113Angélica12,Noche,Estaba solo,Comió,"Dedicación personal (comió, bañó, descansó)",1,1,1,1,1,8,9,Casa donde vive,11,30,20:00:00,,30,30,30,30,30,240,270,
Claudia11113Julia1,Claudia11113Julia,Claudia11113Julia1,Mañana,Con sus hijos adultos,Comió,"Dedicación personal (comió, bañó, descansó)",4,9,2,2,4,4,7,Casa donde vive,11,15,7:00:00,9,60,135,30,30,60,60,105,135
Claudia11113Julia2,Claudia11113Julia,Claudia11113Julia2,Mañana,Estaba solo,Se baño o arregló,"Dedicación personal (comió, bañó, descansó)",7,9,2,2,5,3,10,Casa donde vive,11,15,7:00:00,,105,135,30,30,75,45,150,
Claudia11113Julia3,Claudia11113Julia,Claudia11113Julia3,Mañana,Con sus hijos jóvenes o nietos,Viajó en coche/colectivo/moto,"Viajó a algún lado (coche, caminando, bicicleta)",10,10,2,2,8,3,9,"Viajó a algún lado (coche, caminando, bicicleta)",13,15,7:00:00,10,150,150,30,30,120,45,135,150
Claudia11113Julia4,Claudia11113Julia,Claudia11113Julia4,Mañana,Estaba solo,Caminó a algún lado,"Viajó a algún lado (coche, caminando, bicicleta)",8,3,3,2,7,3,10,"Viajó a algún lado (coche, caminando, bicicleta)",13,50,8:00:00,,400,150,150,100,350,150,500,
Claudia11113Julia5,Claudia11113Julia,Claudia11113Julia5,Mañana,Con compañeros de trabajo / escuela / club,Trabajó,Trabajó,5,1,1,1,7,4,8,Lugar de trabajo,13,240,10:00:00,9,1200,240,240,240,1680,960,1920,2160
Claudia11113Julia6,Claudia11113Julia,Claudia11113Julia6,Tarde,Estaba solo,Caminó a algún lado,"Viajó a algún lado (coche, caminando, bicicleta)",7,8,1,1,8,3,9,"Viajó a algún lado (coche, caminando, bicicleta)",13,10,12:00:00,,70,80,10,10,80,30,90,
Claudia11113Julia7,Claudia11113Julia,Claudia11113Julia7,Tarde,Con sus hijos jóvenes o nietos,Viajó en coche/colectivo/moto,"Viajó a algún lado (coche, caminando, bicicleta)",8,8,2,2,8,4,10,"Viajó a algún lado (coche, caminando, bicicleta)",11,15,12:00:00,10,120,120,30,30,120,60,150,150
Claudia11113Julia8,Claudia11113Julia,Claudia11113Julia8,Tarde,Con sus hijos jóvenes o nietos,Preparó comida,"Tareas domésticas (comida, cuida a los hijos, mascotas)",7,3,1,1,4,4,7,Casa donde vive,11,30,13:00:00,8,210,90,30,30,120,120,210,240
Claudia11113Julia9,Claudia11113Julia,Claudia11113Julia9,Tarde,Con sus hijos jóvenes o nietos,Comió,"Dedicación personal (comió, bañó, descansó)",3,2,1,1,4,2,10,Casa donde vive,11,20,13:00:00,9,60,40,20,20,80,40,200,180
Claudia11113Julia10,Claudia11113Julia,Claudia11113Julia10,Tarde,Con sus hijos jóvenes o nietos,Hizo tareas domésticas,"Tareas domésticas (comida, cuida a los hijos, mascotas)",3,8,2,2,8,3,8,Casa donde vive,11,20,14:00:00,8,60,160,40,40,160,60,160,160
Claudia11113Julia11,Claudia11113Julia,Claudia11113Julia11,Tarde,Con sus hijos jóvenes o nietos,"Descansó (siesta,tomar mate, té o café)","Dedicación personal (comió, bañó, descansó)",2,1,1,1,1,9,10,Casa donde vive,11,120,15:00:00,10,240,120,120,120,120,1080,1200,1200
Claudia11113Julia12,Claudia11113Julia,Claudia11113Julia12,Tarde,Con sus hijos jóvenes o nietos,"Descansó (siesta,tomar mate, té o café)","Dedicación personal (comió, bañó, descansó)",5,4,1,1,6,6,9,Casa donde vive,11,90,16:00:00,9,450,360,90,90,540,540,810,810
Claudia11113Julia13,Claudia11113Julia,Claudia11113Julia13,Noche,Estaba solo,Caminó a algún lado,"Viajó a algún lado (coche, caminando, bicicleta)",7,8,1,1,6,4,7,"Viajó a algún lado (coche, caminando, bicicleta)",12,10,17:00:00,,70,80,10,10,60,40,70,
Claudia11113Julia14,Claudia11113Julia,Claudia11113Julia14,Noche,Estaba solo,Fue de compras,Compras,8,1,1,1,7,5,8,"Supermercado, despensa, verdulería, carnicería, dietética",12,40,18:00:00,,320,40,40,40,280,200,320,
Claudia11113Julia15,Claudia11113Julia,Claudia11113Julia15,Noche,Estaba solo,Caminó a algún lado,"Viajó a algún lado (coche, caminando, bicicleta)",7,8,1,1,6,4,7,"Viajó a algún lado (coche, caminando, bicicleta)",11,15,18:00:00,,105,120,15,15,90,60,105,
Claudia11113Julia16,Claudia11113Julia,Claudia11113Julia16,Noche,Con sus hijos jóvenes o nietos,Hizo tareas domésticas,"Tareas domésticas (comida, cuida a los hijos, mascotas)",7,6,1,1,8,4,8,Casa donde vive,11,120,19:00:00,9,840,720,120,120,960,480,960,1080
